Erzeugt mit a = 25173 b =13849 m = 65536 und x_0 = 53632
0.000,0.748,0.497,0.803,0.960,0.600,0.489,0.603,0.762,0.408
0.408,0.677,0.388,0.884,0.363,0.322,0.074,0.911,0.714,0.408
0.304,0.673,0.069,0.764,0.812,0.592,0.289,0.404,0.583,0.408
0.482,0.303,0.851,0.839,0.008,0.008,0.101,0.261,0.477,0.408
0.066,0.028,0.748,0.272,0.731,0.811,0.929,0.175,0.331,0.408
0.381,0.571,0.350,0.365,0.713,0.257,0.523,0.730,0.784,0.408
0.833,0.298,0.704,0.937,0.515,0.993,0.832,0.775,0.053,0.408
0.777,0.590,0.183,0.697,0.399,0.430,0.887,0.801,0.808,0.408
0.401,0.218,0.361,0.620,0.209,0.121,0.670,0.314,0.046,0.408
0.593,0.720,0.895,0.319,0.239,0.134,0.991,0.209,0.968,0.408
